A̱o,Trimestre,Ingresos (miles de pesos),IPC US,IPC AR,USDARS oficial,USDARS blue,PBI millones
2022,3,67055930,,,,,
2022,2,60335724,,,,,
2022,1,55589997,,,,,
2021,4,45467887,,,,,
2021,3,42999944,,,,,
2021,2,38239667,,,,,
2021,1,36676371,,,,,
2020,4,33539703,,,,,
2020,3,31997445,,,,,
2020,2,32102476,,,,,
2020,1,29946216,,,,,
2019,4,24169251,,,,,
2019,3,21652748,,,,,
2019,2,20743118,,,,,
2019,1,20207414,,,,,
2018,4,16637687,,,,,
2018,3,15410981,,,,,
2018,2,14319467,251989,1169,24,29,
2018,1,13171459,249554,1083,20,24,11975804
2017,4,11226127,246524,1014,18,20,11533613
2017,3,10065998,246819,963,17,18,10937240
2017,2,9678647,244955,925,16,18,10595155
2017,1,8701201,243801,880,16,16,9157377
2016,4,7483980,241432,833,15,16,8942135
2016,3,6912442,241428,791,15,16,8448890
2016,2,6534241,241038,751,14,15,8401125
2016,1,5936845,238132,697,14,15,6962845
2015,4,5376899,236525,621,10,15,6552140
2015,3,5153739,237945,584,9,15,6221731
2015,2,4701791,238638,549,9,15,5951479
2015,1,4876385,236119,518,9,13,5092694
2014,4,3950441,234812,491,9,13,5010564
2014,3,3478638,238031,461,8,14,4685503
2014,2,3270816,238343,433,8,13,4702630
2014,1,2984054,236293,402,8,11,3917649
