Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,Mbps (Media de bajada),Banda ancha fija,Dial up,Total
2022,3,Buenos Aires,78.11,26,70.19,4715469,6199,4721668
2022,3,Capital Federal,122.28,50,101.05,1545534,2145,1547679
2022,3,Catamarca,65.33,17,60.99,70292,1,70293
2022,3,Chaco,43.86,12,53.21,144141,5,144146
2022,3,Chubut,84.38,26,15.57,164874,904,165778
2022,3,Córdoba,88.31,27,56.32,1038600,68,1038668
2022,3,Corrientes,48.21,13,45.07,144842,4,144846
2022,3,Entre Ríos,63.67,19,42.49,268937,22,268959
2022,3,Formosa,43.76,11,30.35,68537,1,68538
2022,3,Jujuy,58.91,15,32.43,118823,- 0,118823
2022,3,La Pampa,96.59,32,18.1,115921,171,116092
2022,3,La Rioja,80.66,21,44.3,86860,4,86864
2022,3,Mendoza,51.03,14,34.16,288746,777,289523
2022,3,Misiones,51.82,14,49.3,182157,- 0,182157
2022,3,Neuquén,80.37,24,47.81,162693,468,163161
2022,3,Río Negro,67.98,21,34.13,160010,548,160558
2022,3,Salta,57.76,14,41.33,204536,5,204541
2022,3,San Juan,50.8,13,15.84,103118,281,103399
2022,3,San Luis,81.74,23,19.33,121888,182,122070
2022,3,Santa Cruz,43.19,13,12.6,49312,198,49510
2022,3,Santa Fe,78.55,25,45.15,887700,110,887810
2022,3,Santiago Del Estero,47.98,12,17.69,119030,2,119032
2022,3,Tierra Del Fuego,99.51,30,11.01,53584,312,53896
2022,3,Tucumán,61.14,15,53.36,263087,30,263117
2022,2,Buenos Aires,77.58,26,65.5,4660984,6199,4667183
2022,2,Capital Federal,121.31,50,93.97,1534626,2145,1536771
2022,2,Catamarca,62.4,16,56.56,67007,1,67008
2022,2,Chaco,43.79,12,50.61,143559,5,143564
2022,2,Chubut,83.19,26,14.91,161901,904,162805
2022,2,Córdoba,87.48,27,53.51,1026367,68,1026435
2022,2,Corrientes,48.35,13,43.31,144993,4,144997
2022,2,Entre Ríos,63.9,19,40.03,269330,22,269352
2022,2,Formosa,43.42,11,28.47,67881,- 0,67881
2022,2,Jujuy,57.32,15,29.39,115314,- 0,115314
2022,2,La Pampa,92.98,31,16.07,111356,171,111527
2022,2,La Rioja,80.14,21,43.28,86026,4,86030
2022,2,Mendoza,49.39,14,29.72,278785,777,279562
2022,2,Misiones,51,14,46.23,178813,- 0,178813
2022,2,Neuquén,80.02,24,46.53,161500,468,161968
2022,2,Río Negro,67.85,21,33.26,159216,548,159764
2022,2,Salta,57.54,14,38.77,203172,5,203177
2022,2,San Juan,49.46,13,14.44,100126,281,100407
2022,2,San Luis,81.76,23,19.32,121559,182,121741
2022,2,Santa Cruz,43.15,13,11.81,48987,198,49185
2022,2,Santa Fe,77.9,24,42.01,878749,110,878859
2022,2,Santiago Del Estero,47.7,12,16.34,118042,2,118044
2022,2,Tierra Del Fuego,99.86,30,10.97,53458,312,53770
2022,2,Tucumán,59.31,15,50.09,254497,30,254527
2022,1,Buenos Aires,76.08,26,62.51,4549131,6293,4555424
2022,1,Capital Federal,111.8,46,88.22,1415378,2163,1417541
2022,1,Catamarca,58.21,15,51.22,62377,1,62378
2022,1,Chaco,44.06,12,45.84,144114,5,144119
2022,1,Chubut,88.05,27,13.4,170701,927,171628
2022,1,Córdoba,85.76,26,49.89,1003729,74,1003803
2022,1,Corrientes,47.64,13,38.11,142574,4,142578
2022,1,Entre Ríos,63.7,19,35.59,267904,22,267926
2022,1,Formosa,34.96,9,30.28,54548,0,54548
2022,1,Jujuy,58.06,15,27.69,116509,0,116509
2022,1,La Pampa,91.66,30,14.84,109560,172,109732
2022,1,La Rioja,78.77,21,41.37,84299,4,84303
2022,1,Mendoza,48.74,14,26.2,274399,786,275185
2022,1,Misiones,49.04,13,41.87,171508,0,171508
2022,1,Neuquén,74.17,22,43.05,149208,471,149679
2022,1,Río Negro,67.04,21,31.09,156821,553,157374
2022,1,Salta,56.11,14,36.71,197510,5,197515
2022,1,San Juan,43.55,11,11.99,87888,290,88178
2022,1,San Luis,80.72,23,20.95,119659,185,119844
2022,1,Santa Cruz,43.34,13,10.89,48898,204,49102
2022,1,Santa Fe,77.3,24,38.89,870364,115,870479
2022,1,Santiago Del Estero,47.17,12,14.5,116459,2,116461
2022,1,Tierra Del Fuego,98.29,29,10.73,52298,313,52611
2022,1,Tucumán,57.39,14,47.24,245554,30,245584
2021,4,Buenos Aires,75.66,25,60.21,4502772,6385,4509157
2021,4,Capital Federal,111.27,46,82.95,1409935,2184,1412119
2021,4,Catamarca,55.25,14,46.38,59089,1,59090
2021,4,Chaco,44.05,12,42.34,143740,5,143745
2021,4,Chubut,82.57,25,9.08,159364,944,160308
2021,4,Córdoba,84.51,26,46.36,986693,77,986770
2021,4,Corrientes,45.51,12,35.77,135908,4,135912
2021,4,Entre Ríos,63.16,19,33.32,265024,22,265046
2021,4,Formosa,34.45,9,28.76,53663,- 0,53663
2021,4,Jujuy,56.92,15,27.14,113915,- 0,113915
2021,4,La Pampa,89.57,30,13.85,106834,173,107007
2021,4,La Rioja,77.92,21,39.7,83124,4,83128
2021,4,Mendoza,47.51,13,22.23,266783,804,267587
2021,4,Misiones,49.06,13,38.9,171132,- 0,171132
2021,4,Neuquén,73.3,22,40.09,146989,477,147466
2021,4,Río Negro,65.69,20,27.2,153189,564,153753
2021,4,Salta,56.81,14,33.94,199399,6,199405
2021,4,San Juan,39.59,10,11.05,79667,291,79958
2021,4,San Luis,80.3,23,20.91,118662,187,118849
2021,4,Santa Cruz,43.05,13,8.99,48276,210,48486
2021,4,Santa Fe,77.09,24,36.02,866265,176,866441
2021,4,Santiago Del Estero,47.05,12,13.84,115859,2,115861
2021,4,Tierra Del Fuego,98.4,29,10.7,52042,315,52357
2021,4,Tucumán,55.93,14,45.15,238609,30,238639
2021,3,Buenos Aires,71.68,24,56.26,4246425,5184,4251609
2021,3,Capital Federal,111.27,46,77.71,1411797,1608,1413405
2021,3,Catamarca,52.71,13,43.43,56253,1,56254
2021,3,Chaco,42.96,11,39.11,139868,3,139871
2021,3,Chubut,80.71,25,8.18,155266,800,156066
2021,3,Córdoba,81.28,25,41.93,946726,62,946788
2021,3,Corrientes,44.9,12,32.17,133816,3,133819
2021,3,Entre Ríos,62.18,19,29.6,260360,15,260375
2021,3,Formosa,33.96,9,26.69,52795,- 0,52795
2021,3,Jujuy,55.69,14,25.98,111158,- 0,111158
2021,3,La Pampa,84.28,28,12.99,100371,116,100487
2021,3,La Rioja,77.26,21,38.87,82157,3,82160
2021,3,Mendoza,45.55,13,13.37,255320,619,255939
2021,3,Misiones,45.57,12,30.88,158528,- 0,158528
2021,3,Neuquén,69.71,21,38.34,139436,373,139809
2021,3,Río Negro,61.97,19,25.4,144084,501,144585
2021,3,Salta,55.96,14,31.21,195831,2,195833
2021,3,San Juan,39.46,10,7.04,79227,256,79483
2021,3,San Luis,79.87,23,21.7,117716,148,117864
2021,3,Santa Cruz,43.75,13,7.69,48779,197,48976
2021,3,Santa Fe,75.02,24,33.13,841433,151,841584
2021,3,Santiago Del Estero,47,12,13.35,115457,1,115458
2021,3,Tierra Del Fuego,94.95,28,9.52,49934,289,50223
2021,3,Tucumán,54.64,14,42.1,232447,25,232472
2021,2,Buenos Aires,70,23,52.76,4127167,5184,4132351
2021,2,Capital Federal,110.14,45,72.75,1398747,1608,1400355
2021,2,Catamarca,52.34,13,42.19,55743,1,55744
2021,2,Chaco,43.33,12,37.4,140726,3,140729
2021,2,Chubut,72.29,22,7.68,138412,825,139237
2021,2,Córdoba,80.12,25,39.59,930818,62,930880
2021,2,Corrientes,43.54,11,30.37,129498,3,129501
2021,2,Entre Ríos,61.66,18,27.62,257617,15,257632
2021,2,Formosa,33.23,8,23.97,51551,- 0,51551
2021,2,Jujuy,56.18,14,25.81,111848,- 0,111848
2021,2,La Pampa,82.08,27,12.28,97551,116,97667
2021,2,La Rioja,76.98,20,38.53,81599,3,81602
2021,2,Mendoza,40.97,11,13.47,229052,619,229671
2021,2,Misiones,45.01,12,28.68,156176,- 0,156176
2021,2,Neuquén,69.14,21,36.11,137877,373,138250
2021,2,Río Negro,61.94,19,23.75,143583,501,144084
2021,2,Salta,54.93,13,29.24,191637,2,191639
2021,2,San Juan,39.28,10,6.99,78677,256,78933
2021,2,San Luis,83.48,24,21.66,122670,148,122818
2021,2,Santa Cruz,44.01,13,7.63,48785,197,48982
2021,2,Santa Fe,75.07,24,30.7,840449,151,840600
2021,2,Santiago Del Estero,46.56,12,12.72,114089,1,114090
2021,2,Tierra Del Fuego,67.89,20,8.59,35404,289,35693
2021,2,Tucumán,54.93,14,40.31,233026,25,233051
2021,1,Buenos Aires,69.11,23,50.79,4054936,5066,4060002
2021,1,Capital Federal,108.42,45,68.29,1378283,1390,1379673
2021,1,Catamarca,48.9,12,39.97,51967,1,51968
2021,1,Chaco,43.14,12,33.63,139767,3,139770
2021,1,Chubut,68.99,21,7.53,131515,825,132340
2021,1,Córdoba,78.59,24,36.17,910826,55,910881
2021,1,Corrientes,42.66,11,25.99,126622,3,126625
2021,1,Entre Ríos,60.44,18,23.87,251950,13,251963
2021,1,Formosa,32.73,8,20.98,50686,- 0,50686
2021,1,Jujuy,55.63,14,26.78,110456,- 0,110456
2021,1,La Pampa,81.78,27,10.73,96989,116,97105
2021,1,La Rioja,49.81,13,12.7,52625,3,52628
2021,1,Mendoza,39.15,11,12.6,218308,615,218923
2021,1,Misiones,43.17,12,25.08,149387,- 0,149387
2021,1,Neuquén,66.84,20,34.24,132862,373,133235
2021,1,Río Negro,60.88,19,21.92,140667,501,141168
2021,1,Salta,53.93,13,27.32,187572,2,187574
2021,1,San Juan,39.06,10,6.91,78011,256,78267
2021,1,San Luis,81.24,23,21.59,119006,148,119154
2021,1,Santa Cruz,41.65,12,7.5,45868,197,46065
2021,1,Santa Fe,73.92,23,28.13,825990,137,826127
2021,1,Santiago Del Estero,45.67,11,11.58,111640,1,111641
2021,1,Tierra Del Fuego,77.35,23,8.73,40133,289,40422
2021,1,Tucumán,54.82,14,37.98,231890,22,231912
2020,4,Buenos Aires,68.98,23,50.01,4028195,5066,4033261
2020,4,Capital Federal,108.31,45,67.33,1378140,1390,1379530
2020,4,Catamarca,49.41,13,37.65,52395,1,52396
2020,4,Chaco,43.03,12,32.45,139088,3,139091
2020,4,Chubut,68.35,21,7.38,129749,825,130574
2020,4,Córdoba,78.08,24,35.12,902646,55,902701
2020,4,Corrientes,42.43,11,25.45,125656,3,125659
2020,4,Entre Ríos,59.47,18,24.05,247368,13,247381
2020,4,Formosa,32.49,8,19.7,50206,- 0,50206
2020,4,Jujuy,53.46,14,25.21,105851,- 0,105851
2020,4,La Pampa,81.77,27,9.88,96779,116,96895
2020,4,La Rioja,50.11,13,12.53,52775,3,52778
2020,4,Mendoza,38.63,11,11.09,214838,615,215453
2020,4,Misiones,42.64,12,24.96,147161,- 0,147161
2020,4,Neuquén,67,20,33.91,132762,373,133135
2020,4,Río Negro,61.09,19,21.64,140709,501,141210
2020,4,Salta,54.04,13,25.32,187388,2,187390
2020,4,San Juan,36.32,9,6.41,72340,256,72596
2020,4,San Luis,81.68,23,21.25,119287,148,119435
2020,4,Santa Cruz,37,11,7.49,40477,197,40674
2020,4,Santa Fe,73.58,23,27.29,820676,137,820813
2020,4,Santiago Del Estero,43.75,11,11.28,106668,1,106669
2020,4,Tierra Del Fuego,76.27,23,8.49,39325,289,39614
2020,4,Tucumán,54.78,14,36.44,231067,22,231089
2020,3,Buenos Aires,67.66,22,48.38,3932211,5066,3937277
2020,3,Capital Federal,107.68,45,63.81,1371285,1390,1372675
2020,3,Catamarca,47.16,12,36.54,49903,1,49904
2020,3,Chaco,41.54,11,30.8,133951,3,133954
2020,3,Chubut,68.34,21,7.4,129202,825,130027
2020,3,Córdoba,75.22,23,33.51,867417,55,867472
2020,3,Corrientes,41.75,11,23.85,123388,3,123391
2020,3,Entre Ríos,58.19,17,22.43,241482,13,241495
2020,3,Formosa,31.91,8,18.28,49209,- 0,49209
2020,3,Jujuy,54.04,14,21.91,106728,- 0,106728
2020,3,La Pampa,79.26,26,10.7,93619,116,93735
2020,3,La Rioja,50.12,13,12.19,52613,3,52616
2020,3,Mendoza,37.35,10,10.19,207173,615,207788
2020,3,Misiones,41.6,11,24.14,143186,- 0,143186
2020,3,Neuquén,65.24,19,31.46,128862,373,129235
2020,3,Río Negro,57.05,18,21.08,130966,501,131467
2020,3,Salta,52.32,13,25.26,180844,2,180846
2020,3,San Juan,38.79,10,6.03,77071,256,77327
2020,3,San Luis,79.96,23,20.85,116417,148,116565
2020,3,Santa Cruz,35.95,11,6.65,39084,197,39281
2020,3,Santa Fe,72.12,23,25.69,802861,137,802998
2020,3,Santiago Del Estero,43.38,11,10.88,105491,1,105492
2020,3,Tierra Del Fuego,76.81,23,8.51,39366,289,39655
2020,3,Tucumán,53.23,13,34.84,223854,22,223876
2020,2,Buenos Aires,65.22,22,45.66,3772480,5066,3777546
2020,2,Capital Federal,106.41,44,60.48,1356431,1390,1357821
2020,2,Catamarca,45.43,12,34.93,47975,1,47976
2020,2,Chaco,39.83,11,27.95,128129,3,128132
2020,2,Chubut,57.34,18,7.61,107831,825,108656
2020,2,Córdoba,72.71,22,30.99,836413,55,836468
2020,2,Corrientes,40.3,11,22.15,118863,3,118866
2020,2,Entre Ríos,56.54,17,20.45,234100,13,234113
2020,2,Formosa,31.14,8,16.87,47932,- 0,47932
2020,2,Jujuy,47.89,12,15.86,94316,- 0,94316
2020,2,La Pampa,76.1,25,8.03,89693,116,89809
2020,2,La Rioja,49.84,13,11.67,52152,3,52155
2020,2,Mendoza,36.25,10,9.27,200569,615,201184
2020,2,Misiones,40.89,11,22.56,140340,- 0,140340
2020,2,Neuquén,63.9,19,29.1,125799,373,126172
2020,2,Río Negro,56.37,17,19.68,128985,501,129486
2020,2,Salta,51.58,12,22.56,177760,2,177762
2020,2,San Juan,35.09,9,6.31,69521,256,69777
2020,2,San Luis,78.41,22,21.02,113804,148,113952
2020,2,Santa Cruz,35.79,11,6.59,38672,197,38869
2020,2,Santa Fe,70,22,23.93,777795,137,777932
2020,2,Santiago Del Estero,43.47,11,10.41,105446,1,105447
2020,2,Tierra Del Fuego,76.37,23,8.13,38900,289,39189
2020,2,Tucumán,51.78,13,32.7,217134,22,217156
2020,1,Buenos Aires,64.33,21,45.18,3702985,5066,3708051
2020,1,Capital Federal,105.98,44,58.71,1352104,1390,1353494
2020,1,Catamarca,37.62,10,29.13,39634,1,39635
2020,1,Chaco,37.48,10,25.94,120274,3,120277
2020,1,Chubut,51.27,16,7.12,95938,800,96738
2020,1,Córdoba,70.69,22,29.39,811044,55,811099
2020,1,Corrientes,38.73,10,20.54,113967,3,113970
2020,1,Entre Ríos,56.12,17,19.03,231833,13,231846
2020,1,Formosa,30.23,8,15.7,46434,- 0,46434
2020,1,Jujuy,46.67,12,14.14,91665,- 0,91665
2020,1,La Pampa,75.77,25,7.29,89110,116,89226
2020,1,La Rioja,46.35,12,7.96,48337,3,48340
2020,1,Mendoza,33.14,9,8.44,182837,615,183452
2020,1,Misiones,39.02,11,22.15,133552,- 0,133552
2020,1,Neuquén,61.85,18,27.77,121354,373,121727
2020,1,Río Negro,55.12,17,19.06,125699,501,126200
2020,1,Salta,49.6,12,21.43,170379,2,170381
2020,1,San Juan,32.39,8,6.04,63975,256,64231
2020,1,San Luis,76.31,22,20.99,110404,148,110552
2020,1,Santa Cruz,35.97,11,6.42,38625,197,38822
2020,1,Santa Fe,69.52,22,22.42,770981,137,771118
2020,1,Santiago Del Estero,42.47,11,10.0,102754,1,102755
2020,1,Tierra Del Fuego,76.07,23,7.41,38505,289,38794
2020,1,Tucumán,47.85,12,32.25,200045,22,200067
2019,4,Buenos Aires,64.25,21,30.77,3681120,5134,3686254
2019,4,Capital Federal,106.25,44,44.2,1356695,1410,1358105
2019,4,Catamarca,36.44,9,24.88,38310,1,38311
2019,4,Chaco,36.84,10,23.37,117900,3,117903
2019,4,Chubut,51.15,16,6.99,95292,810,96102
2019,4,Córdoba,70.48,22,26.16,806633,55,806688
2019,4,Corrientes,38.77,10,19.26,113831,3,113834
2019,4,Entre Ríos,57.99,17,17.01,239017,13,239030
2019,4,Formosa,30.47,8,14.53,46711,- 0,46711
2019,4,Jujuy,45.38,12,12.96,88881,- 0,88881
2019,4,La Pampa,76.92,25,6.53,90280,119,90399
2019,4,La Rioja,47.14,13,8.0,48999,3,49002
2019,4,Mendoza,33.65,9,7.79,185157,623,185780
2019,4,Misiones,39.79,11,20.32,135813,- 0,135813
2019,4,Neuquén,59.36,18,26.02,116069,376,116445
2019,4,Río Negro,55.71,17,17.18,126636,504,127140
2019,4,Salta,50.35,12,19.08,172443,2,172445
2019,4,San Juan,32.85,8,6.04,64715,259,64974
2019,4,San Luis,74.92,21,20.69,108053,148,108201
2019,4,Santa Cruz,36.71,11,5.21,39170,200,39370
2019,4,Santa Fe,69.48,22,20.55,769019,150,769169
2019,4,Santiago Del Estero,42.92,11,9.79,103587,1,103588
2019,4,Tierra Del Fuego,79.7,24,7.27,40101,291,40392
2019,4,Tucumán,47.65,12,29.87,198621,23,198644
2019,3,Buenos Aires,69.36,23,25.68,3950114,10119,3960233
2019,3,Capital Federal,112.65,47,38.71,1437734,3477,1441211
2019,3,Catamarca,30.88,8,9.29,32391,9,32400
2019,3,Chaco,35.85,10,19.99,114438,13,114451
2019,3,Chubut,47.57,15,6.97,87481,1524,89005
2019,3,Córdoba,68.59,21,23.19,782946,107,783053
2019,3,Corrientes,38.49,10,16.7,112749,10,112759
2019,3,Entre Ríos,57.9,17,14.7,238057,45,238102
2019,3,Formosa,30.11,8,13.22,46066,- 0,46066
2019,3,Jujuy,44.32,11,11.97,86575,1,86576
2019,3,La Pampa,77.45,26,5.72,90559,269,90828
2019,3,La Rioja,47.94,13,8.0,49659,18,49677
2019,3,Mendoza,40.74,11,6.11,223015,1322,224337
2019,3,Misiones,39.33,11,17.93,133883,- 0,133883
2019,3,Neuquén,64.14,19,23.75,123435,1986,125421
2019,3,Río Negro,63.42,20,15.98,143391,904,144295
2019,3,Salta,44.48,11,14.75,151834,1,151835
2019,3,San Juan,37.06,9,6.04,72535,563,73098
2019,3,San Luis,85.23,24,19.74,122409,291,122700
2019,3,Santa Cruz,35.63,11,5.02,37642,328,37970
2019,3,Santa Fe,68.87,22,18.17,760706,228,760934
2019,3,Santiago Del Estero,55.3,14,9.39,133130,2,133132
2019,3,Tierra Del Fuego,96.46,29,6.69,48043,544,48587
2019,3,Tucumán,39.49,10,19.32,164099,32,164131
2019,2,Buenos Aires,67.85,22,22.48,3845594,10104,3855698
2019,2,Capital Federal,110.55,46,30.35,1412177,3443,1415620
2019,2,Catamarca,32.13,8,8.81,33626,9,33635
2019,2,Chaco,34.14,9,16.01,108721,13,108734
2019,2,Chubut,46.99,14,6.05,86038,1518,87556
2019,2,Córdoba,68.07,21,18.43,775023,105,775128
2019,2,Corrientes,38.16,10,13.83,111539,10,111549
2019,2,Entre Ríos,57.48,17,12.19,235780,44,235824
2019,2,Formosa,30.42,8,10.84,46438,- 0,46438
2019,2,Jujuy,44.51,11,12.07,86706,1,86707
2019,2,La Pampa,77.08,25,5.49,89937,268,90205
2019,2,La Rioja,48.7,13,7.89,50283,18,50301
2019,2,Mendoza,40.75,11,6.03,222535,1322,223857
2019,2,Misiones,39.15,11,14.5,132878,- 0,132878
2019,2,Neuquén,63.08,19,17.24,120954,1999,122953
2019,2,Río Negro,61.09,19,11.63,137632,915,138547
2019,2,Salta,41.89,10,12.55,142567,1,142568
2019,2,San Juan,35.6,9,6.12,69461,564,70025
2019,2,San Luis,81.79,23,19.88,117094,291,117385
2019,2,Santa Cruz,28.85,9,6.01,30225,325,30550
2019,2,Santa Fe,67.42,21,15.07,743258,226,743484
2019,2,Santiago Del Estero,52.79,13,7.1,126752,2,126754
2019,2,Tierra Del Fuego,94.8,28,6.34,46910,544,47454
2019,2,Tucumán,40.14,10,18.53,166299,32,166331
2019,1,Buenos Aires,66.24,22,19.64,3736563,10104,3746667
2019,1,Capital Federal,109.2,46,24.72,1396157,3443,1399600
2019,1,Catamarca,32.19,8,7.96,33613,9,33622
2019,1,Chaco,32.64,9,13.44,103664,13,103677
2019,1,Chubut,43,13,5.89,78260,1518,79778
2019,1,Córdoba,65.52,20,15.73,744010,105,744115
2019,1,Corrientes,35.13,9,12.05,102477,10,102487
2019,1,Entre Ríos,56.79,17,10.66,232403,44,232447
2019,1,Formosa,29.68,8,9.83,45211,- 0,45211
2019,1,Jujuy,46.41,12,8.56,90146,1,90147
2019,1,La Pampa,76.35,25,5.06,88892,268,89160
2019,1,La Rioja,50.18,13,7.09,51638,18,51656
2019,1,Mendoza,37.66,11,5.74,204976,1322,206298
2019,1,Misiones,36.26,10,12.51,122720,- 0,122720
2019,1,Neuquén,58.88,18,15.88,112321,2056,114377
2019,1,Río Negro,53.57,16,10.49,120173,915,121088
2019,1,Salta,40.1,10,10.38,136019,1,136020
2019,1,San Juan,31.83,8,5.84,61881,564,62445
2019,1,San Luis,67.34,19,8.71,96044,291,96335
2019,1,Santa Cruz,23.67,7,5.78,24580,325,24905
2019,1,Santa Fe,66.97,21,12.99,736851,227,737078
2019,1,Santiago Del Estero,37.52,9,6.42,89851,2,89853
2019,1,Tierra Del Fuego,93.38,28,6.34,45903,544,46447
2019,1,Tucumán,41.63,10,16.57,171970,32,172002
2018,4,Buenos Aires,64.6,21,16.93,3626502,10104,3636606
2018,4,Capital Federal,108.27,45,22.94,1385577,3443,1389020
2018,4,Catamarca,32.23,8,8.04,33574,9,33583
2018,4,Chaco,32.59,9,13.49,103257,13,103270
2018,4,Chubut,42.61,13,6.09,77204,1518,78722
2018,4,Córdoba,65.09,20,15.81,737234,105,737339
2018,4,Corrientes,34.57,9,12.14,100591,10,100601
2018,4,Entre Ríos,54.37,16,11.02,222003,44,222047
2018,4,Formosa,29.74,8,9.82,45204,- 0,45204
2018,4,Jujuy,46.53,12,8.56,90132,1,90133
2018,4,La Pampa,73.49,24,4.32,85368,268,85636
2018,4,La Rioja,50.35,13,7.09,51633,18,51651
2018,4,Mendoza,37.76,11,5.75,204982,1322,206304
2018,4,Misiones,34.45,9,12.5,116273,- 0,116273
2018,4,Neuquén,59.07,18,15.89,112309,2056,114365
2018,4,Río Negro,51.86,16,10.49,115922,915,116837
2018,4,Salta,39.8,10,10.46,134577,1,134578
2018,4,San Juan,31.9,8,5.72,61834,564,62398
2018,4,San Luis,67.55,19,8.82,96040,291,96331
2018,4,Santa Cruz,23.69,7,5.12,24443,325,24768
2018,4,Santa Fe,65.59,21,13.18,720161,229,720390
2018,4,Santiago Del Estero,37.4,9,6.31,89333,2,89335
2018,4,Tierra Del Fuego,93.59,28,7.44,45716,544,46260
2018,4,Tucumán,41.76,10,16.58,171972,32,172004
2018,3,Buenos Aires,64.44,21,16.78,3599714,10563,3610277
2018,3,Capital Federal,108.45,45,21.64,1385804,6686,1392490
2018,3,Catamarca,32.92,8,7.81,34215,11,34226
2018,3,Chaco,32.28,9,12.89,102021,12,102033
2018,3,Chubut,56.39,17,6.08,101310,2426,103736
2018,3,Córdoba,64.24,20,14.82,725764,94,725858
2018,3,Corrientes,34.25,9,11.49,99445,11,99456
2018,3,Entre Ríos,50.22,15,10.52,204560,48,204608
2018,3,Formosa,29.58,8,9.32,44865,- 0,44865
2018,3,Jujuy,23.26,6,7.67,44934,1,44935
2018,3,La Pampa,71.75,24,4.28,83180,244,83424
2018,3,La Rioja,50.73,14,6.16,51855,17,51872
2018,3,Mendoza,37.99,11,5.79,205545,1484,207029
2018,3,Misiones,32.1,9,12.49,108042,- 0,108042
2018,3,Neuquén,60.49,18,14.67,114713,2005,116718
2018,3,Río Negro,50.54,16,10.06,112433,1059,113492
2018,3,Salta,39.43,10,9.27,132882,1,132883
2018,3,San Juan,33.05,8,5.74,63823,658,64481
2018,3,San Luis,52.35,15,8.81,74121,300,74421
2018,3,Santa Cruz,32.73,10,5.37,33565,434,33999
2018,3,Santa Fe,63.41,20,12.36,694883,217,695100
2018,3,Santiago Del Estero,36.25,9,5.78,86358,2,86360
2018,3,Tierra Del Fuego,92.77,28,5.99,45056,508,45564
2018,3,Tucumán,41.68,10,15.26,171135,31,171166
2018,2,Buenos Aires,62.78,20,14.68,3490134,10565,3500699
2018,2,Capital Federal,106.53,45,18.94,1362498,6688,1369186
2018,2,Catamarca,32.86,8,7.69,34078,11,34089
