A̱o,Trimestre,Accesos por cada 100 hogares,Accesos por cada 100 hab,Mbps (Media de bajada)
2022,3,76.64,23.95,62.46
2022,2,75.97,23.72,58.44
2022,1,73.88,23.05,55.11
2021,4,73.18,22.81,52.34
2021,3,70.58,21.98,48.46
2021,2,69.24,21.55,45.63
2021,1,67.95,21.13,43.11
2020,4,67.62,21.01,42.36
2020,3,66.31,20.59,40.67
2020,2,64.21,19.92,38.32
2020,1,62.86,19.48,37.52
2019,4,62.92,19.49,28.26
2019,3,65.79,20.36,24.18
2019,2,64.53,19.96,20.33
2019,1,62.48,19.31,17.38
2018,4,61.42,18.97,15.95
2018,3,60.69,18.73,15.36
2018,2,59.16,18.24,13.85
2018,1,58.82,18.12,13.22
2017,4,57.78,17.79,12.01
2017,3,56.9,17.51,8.34
2017,2,54.9,16.88,7.16
2017,1,54.16,16.64,6.62
2016,4,53.94,16.56,6.34
2016,3,53.73,16.5,5.94
2016,2,53.34,16.37,5.42
2016,1,51.85,15.9,5.08
2015,4,52.63,16.12,4.99
2015,3,52.46,16.05,4.79
2015,2,51.76,15.82,4.55
2015,1,51.36,15.68,4.35
2014,4,50.5,15.39,4.16
2014,3,50.67,15.43,3.87
2014,2,49.86,15.16,3.76
2014,1,49.55,15.05,3.62
