Año,Trimestre,Rango Velocidad,Accesos
2022,3,Hasta 512 kbps,33013
2022,2,Hasta 512 kbps,33667
2022,1,Hasta 512 kbps,34890
2021,4,Hasta 512 kbps,41262
2021,3,Hasta 512 kbps,40174
2021,2,Hasta 512 kbps,40172
2021,1,Hasta 512 kbps,39487
2020,4,Hasta 512 kbps,39510
2020,3,Hasta 512 kbps,41038
2020,2,Hasta 512 kbps,41038
2020,1,Hasta 512 kbps,42550
2019,4,Hasta 512 kbps,38272
2019,3,Hasta 512 kbps,241713
2019,2,Hasta 512 kbps,202790
2019,1,Hasta 512 kbps,166573
2018,4,Hasta 512 kbps,138740
2018,3,Hasta 512 kbps,5675
2018,2,Hasta 512 kbps,5972
2018,1,Hasta 512 kbps,7309
2017,4,Hasta 512 kbps,15041
2017,3,Hasta 512 kbps,19022
2017,2,Hasta 512 kbps,22366
2017,1,Hasta 512 kbps,20653
2016,4,Hasta 512 kbps,20724
2016,3,Hasta 512 kbps,20104
2016,2,Hasta 512 kbps,44008
2016,1,Hasta 512 kbps,30428
2015,4,Hasta 512 kbps,34243
2015,3,Hasta 512 kbps,35030
2015,2,Hasta 512 kbps,40723
2015,1,Hasta 512 kbps,41158
2014,4,Hasta 512 kbps,44075
2014,3,Hasta 512 kbps,37430
2014,2,Hasta 512 kbps,41064
2014,1,Hasta 512 kbps,52684
2022,3,Entre 512 Kbps y 1 Mbps,96727
2022,2,Entre 512 Kbps y 1 Mbps,99498
2022,1,Entre 512 Kbps y 1 Mbps,104840
2021,4,Entre 512 Kbps y 1 Mbps,28521
2021,3,Entre 512 Kbps y 1 Mbps,41437
2021,2,Entre 512 Kbps y 1 Mbps,42024
2021,1,Entre 512 Kbps y 1 Mbps,41674
2020,4,Entre 512 Kbps y 1 Mbps,42185
2020,3,Entre 512 Kbps y 1 Mbps,44005
2020,2,Entre 512 Kbps y 1 Mbps,48690
2020,1,Entre 512 Kbps y 1 Mbps,56170
2019,4,Entre 512 Kbps y 1 Mbps,28980
2019,3,Entre 512 Kbps y 1 Mbps,80599
2019,2,Entre 512 Kbps y 1 Mbps,95980
2019,1,Entre 512 Kbps y 1 Mbps,195706
2018,4,Entre 512 Kbps y 1 Mbps,201196
2018,3,Entre 512 Kbps y 1 Mbps,220589
2018,2,Entre 512 Kbps y 1 Mbps,219467
2018,1,Entre 512 Kbps y 1 Mbps,215406
2017,4,Entre 512 Kbps y 1 Mbps,221474
2017,3,Entre 512 Kbps y 1 Mbps,217997
2017,2,Entre 512 Kbps y 1 Mbps,222766
2017,1,Entre 512 Kbps y 1 Mbps,230159
2016,4,Entre 512 Kbps y 1 Mbps,233398
2016,3,Entre 512 Kbps y 1 Mbps,294413
2016,2,Entre 512 Kbps y 1 Mbps,384221
2016,1,Entre 512 Kbps y 1 Mbps,404810
2015,4,Entre 512 Kbps y 1 Mbps,427394
2015,3,Entre 512 Kbps y 1 Mbps,455777
2015,2,Entre 512 Kbps y 1 Mbps,500175
2015,1,Entre 512 Kbps y 1 Mbps,516919
2014,4,Entre 512 Kbps y 1 Mbps,554749
2014,3,Entre 512 Kbps y 1 Mbps,608018
2014,2,Entre 512 Kbps y 1 Mbps,656408
2014,1,Entre 512 Kbps y 1 Mbps,687619
2022,3,Entre 1 Mbps y 6 Mbps,1161370
2022,2,Entre 1 Mbps y 6 Mbps,1193090
2022,1,Entre 1 Mbps y 6 Mbps,1263273
2021,4,Entre 1 Mbps y 6 Mbps,1413208
2021,3,Entre 1 Mbps y 6 Mbps,2550229
2021,2,Entre 1 Mbps y 6 Mbps,2531271
2021,1,Entre 1 Mbps y 6 Mbps,2593477
2020,4,Entre 1 Mbps y 6 Mbps,2622638
2020,3,Entre 1 Mbps y 6 Mbps,2637984
2020,2,Entre 1 Mbps y 6 Mbps,2651502
2020,1,Entre 1 Mbps y 6 Mbps,2649819
2019,4,Entre 1 Mbps y 6 Mbps,2792307
2019,3,Entre 1 Mbps y 6 Mbps,3309137
2019,2,Entre 1 Mbps y 6 Mbps,3444458
2019,1,Entre 1 Mbps y 6 Mbps,3428759
2018,4,Entre 1 Mbps y 6 Mbps,3337982
2018,3,Entre 1 Mbps y 6 Mbps,3401277
2018,2,Entre 1 Mbps y 6 Mbps,3316868
2018,1,Entre 1 Mbps y 6 Mbps,3272724
2017,4,Entre 1 Mbps y 6 Mbps,3773159
2017,3,Entre 1 Mbps y 6 Mbps,4062226
2017,2,Entre 1 Mbps y 6 Mbps,4416065
2017,1,Entre 1 Mbps y 6 Mbps,4584534
2016,4,Entre 1 Mbps y 6 Mbps,4673339
2016,3,Entre 1 Mbps y 6 Mbps,4816081
2016,2,Entre 1 Mbps y 6 Mbps,5058481
2016,1,Entre 1 Mbps y 6 Mbps,4944358
2015,4,Entre 1 Mbps y 6 Mbps,5049640
2015,3,Entre 1 Mbps y 6 Mbps,5087802
2015,2,Entre 1 Mbps y 6 Mbps,5138431
2015,1,Entre 1 Mbps y 6 Mbps,5121423
2014,4,Entre 1 Mbps y 6 Mbps,5084556
2014,3,Entre 1 Mbps y 6 Mbps,5153437
2014,2,Entre 1 Mbps y 6 Mbps,5149574
2014,1,Entre 1 Mbps y 6 Mbps,5130294
2022,3,Entre 6 Mbps y 10 Mbps,1151906
2022,2,Entre 6 Mbps y 10 Mbps,1197030
2022,1,Entre 6 Mbps y 10 Mbps,1209148
2021,4,Entre 6 Mbps y 10 Mbps,1245333
2021,3,Entre 6 Mbps y 10 Mbps,1095772
2021,2,Entre 6 Mbps y 10 Mbps,1080279
2021,1,Entre 6 Mbps y 10 Mbps,1072722
2020,4,Entre 6 Mbps y 10 Mbps,1073875
2020,3,Entre 6 Mbps y 10 Mbps,1040017
2020,2,Entre 6 Mbps y 10 Mbps,1053107
2020,1,Entre 6 Mbps y 10 Mbps,1022014
2019,4,Entre 6 Mbps y 10 Mbps,1046128
2019,3,Entre 6 Mbps y 10 Mbps,1026859
2019,2,Entre 6 Mbps y 10 Mbps,871142
2019,1,Entre 6 Mbps y 10 Mbps,882836
2018,4,Entre 6 Mbps y 10 Mbps,882388
2018,3,Entre 6 Mbps y 10 Mbps,859413
2018,2,Entre 6 Mbps y 10 Mbps,979416
2018,1,Entre 6 Mbps y 10 Mbps,976956
2017,4,Entre 6 Mbps y 10 Mbps,1005545
2017,3,Entre 6 Mbps y 10 Mbps,1062810
2017,2,Entre 6 Mbps y 10 Mbps,990281
2017,1,Entre 6 Mbps y 10 Mbps,975027
2016,4,Entre 6 Mbps y 10 Mbps,971094
2016,3,Entre 6 Mbps y 10 Mbps,936533
2016,2,Entre 6 Mbps y 10 Mbps,796998
2016,1,Entre 6 Mbps y 10 Mbps,762999
2015,4,Entre 6 Mbps y 10 Mbps,726740
2015,3,Entre 6 Mbps y 10 Mbps,701187
2015,2,Entre 6 Mbps y 10 Mbps,645440
2015,1,Entre 6 Mbps y 10 Mbps,571620
2014,4,Entre 6 Mbps y 10 Mbps,496251
2014,3,Entre 6 Mbps y 10 Mbps,373372
2014,2,Entre 6 Mbps y 10 Mbps,341689
2014,1,Entre 6 Mbps y 10 Mbps,289182
2022,3,Entre 10 Mbps y 20 Mbps,823505
2022,2,Entre 10 Mbps y 20 Mbps,856562
2022,1,Entre 10 Mbps y 20 Mbps,967508
2021,4,Entre 10 Mbps y 20 Mbps,976539
2021,3,Entre 10 Mbps y 20 Mbps,710122
2021,2,Entre 10 Mbps y 20 Mbps,693277
2021,1,Entre 10 Mbps y 20 Mbps,737930
2020,4,Entre 10 Mbps y 20 Mbps,786595
2020,3,Entre 10 Mbps y 20 Mbps,799350
2020,2,Entre 10 Mbps y 20 Mbps,807775
2020,1,Entre 10 Mbps y 20 Mbps,814470
2019,4,Entre 10 Mbps y 20 Mbps,851619
2019,3,Entre 10 Mbps y 20 Mbps,806466
2019,2,Entre 10 Mbps y 20 Mbps,1169632
2019,1,Entre 10 Mbps y 20 Mbps,1464748
2018,4,Entre 10 Mbps y 20 Mbps,1472634
2018,3,Entre 10 Mbps y 20 Mbps,1607137
2018,2,Entre 10 Mbps y 20 Mbps,1905839
2018,1,Entre 10 Mbps y 20 Mbps,2068087
2017,4,Entre 10 Mbps y 20 Mbps,1730353
2017,3,Entre 10 Mbps y 20 Mbps,1592304
2017,2,Entre 10 Mbps y 20 Mbps,1342000
2017,1,Entre 10 Mbps y 20 Mbps,1129987
2016,4,Entre 10 Mbps y 20 Mbps,1038029
2016,3,Entre 10 Mbps y 20 Mbps,919208
2016,2,Entre 10 Mbps y 20 Mbps,785759
2016,1,Entre 10 Mbps y 20 Mbps,641646
2015,4,Entre 10 Mbps y 20 Mbps,639011
2015,3,Entre 10 Mbps y 20 Mbps,539414
2015,2,Entre 10 Mbps y 20 Mbps,432762
2015,1,Entre 10 Mbps y 20 Mbps,348102
2014,4,Entre 10 Mbps y 20 Mbps,276254
2014,3,Entre 10 Mbps y 20 Mbps,182483
2014,2,Entre 10 Mbps y 20 Mbps,147273
2014,1,Entre 10 Mbps y 20 Mbps,101127
2022,3,Entre 20 Mbps y 30 Mbps,479822
2022,2,Entre 20 Mbps y 30 Mbps,485321
2022,1,Entre 20 Mbps y 30 Mbps,509830
2021,4,Entre 20 Mbps y 30 Mbps,558358
2021,3,Entre 20 Mbps y 30 Mbps,536364
2021,2,Entre 20 Mbps y 30 Mbps,647401
2021,1,Entre 20 Mbps y 30 Mbps,595920
2020,4,Entre 20 Mbps y 30 Mbps,582420
2020,3,Entre 20 Mbps y 30 Mbps,538567
2020,2,Entre 20 Mbps y 30 Mbps,523437
2020,1,Entre 20 Mbps y 30 Mbps,532309
2019,4,Entre 20 Mbps y 30 Mbps,1004083
2019,3,Entre 20 Mbps y 30 Mbps,1141545
2019,2,Entre 20 Mbps y 30 Mbps,1250366
2019,1,Entre 20 Mbps y 30 Mbps,1244215
2018,4,Entre 20 Mbps y 30 Mbps,1688748
2018,3,Entre 20 Mbps y 30 Mbps,1571692
2018,2,Entre 20 Mbps y 30 Mbps,1000036
2018,1,Entre 20 Mbps y 30 Mbps,862010
2017,4,Entre 20 Mbps y 30 Mbps,631946
2017,3,Entre 20 Mbps y 30 Mbps,353480
2017,2,Entre 20 Mbps y 30 Mbps,231604
2017,1,Entre 20 Mbps y 30 Mbps,210668
2016,4,Entre 20 Mbps y 30 Mbps,169522
2016,3,Entre 20 Mbps y 30 Mbps,124564
2016,2,Entre 20 Mbps y 30 Mbps,73977
2016,1,Entre 20 Mbps y 30 Mbps,27664
2015,4,Entre 20 Mbps y 30 Mbps,17568
2015,3,Entre 20 Mbps y 30 Mbps,13101
2015,2,Entre 20 Mbps y 30 Mbps,10045
2015,1,Entre 20 Mbps y 30 Mbps,7643
2014,4,Entre 20 Mbps y 30 Mbps,4371
2014,3,Entre 20 Mbps y 30 Mbps,507
2014,2,Entre 20 Mbps y 30 Mbps,478
2014,1,Entre 20 Mbps y 30 Mbps,345
2022,3,Más de 30 Mbps,6995750
2022,2,Más de 30 Mbps,6741922
2022,1,Más de 30 Mbps,6336187
2021,4,Más de 30 Mbps,6032322
2021,3,Más de 30 Mbps,4948174
2021,2,Más de 30 Mbps,4661291
2021,1,Más de 30 Mbps,4379965
2020,4,Más de 30 Mbps,4239237
2020,3,Más de 30 Mbps,4053461
2020,2,Más de 30 Mbps,3711499
2020,1,Más de 30 Mbps,3500882
2019,4,Más de 30 Mbps,2830746
2019,3,Más de 30 Mbps,2314898
2019,2,Más de 30 Mbps,1677830
2019,1,Más de 30 Mbps,1138728
2018,4,Más de 30 Mbps,599579
2018,3,Más de 30 Mbps,524777
2018,2,Más de 30 Mbps,444391
2018,1,Más de 30 Mbps,397977
2017,4,Más de 30 Mbps,337559
2017,3,Más de 30 Mbps,245790
2017,2,Más de 30 Mbps,98635
2017,1,Más de 30 Mbps,47990
2016,4,Más de 30 Mbps,38590
2016,3,Más de 30 Mbps,31022
2016,2,Más de 30 Mbps,29020
2016,1,Más de 30 Mbps,23380
2015,4,Más de 30 Mbps,22170
2015,3,Más de 30 Mbps,20677
2015,2,Más de 30 Mbps,18529
2015,1,Más de 30 Mbps,16347
2014,4,Más de 30 Mbps,15229
2014,3,Más de 30 Mbps,12424
2014,2,Más de 30 Mbps,12259
2014,1,Más de 30 Mbps,11595
2022,3,OTROS,349035
2022,2,OTROS,351594
2022,1,OTROS,198333
2021,4,OTROS,194251
2021,3,OTROS,163269
2021,2,OTROS,167369
2021,1,OTROS,186797
2020,4,OTROS,185102
2020,3,OTROS,201777
2020,2,OTROS,194008
2020,1,OTROS,194212
2019,4,OTROS,201046
2019,3,OTROS,243467
2019,2,OTROS,247983
2019,1,OTROS,126570
2018,4,OTROS,152388
2018,3,OTROS,156475
2018,2,OTROS,238455
2018,1,OTROS,236584
2017,4,OTROS,155145
2017,3,OTROS,0
2017,2,OTROS,0
2017,1,OTROS,0
2016,4,OTROS,0
2016,3,OTROS,0
2016,2,OTROS,0
2016,1,OTROS,0
2015,4,OTROS,0
2015,3,OTROS,0
2015,2,OTROS,0
2015,1,OTROS,0
2014,4,OTROS,0
2014,3,OTROS,0
2014,2,OTROS,0
2014,1,OTROS,0
